id,name,type,img,quadX,quadY,w,h,hanging,frameNum,frameInterval,weight,price,description,canStack,initNum
mow,草堆,decoration,item1,12,5,48,48,,,,,,户外装饰用品。,,
bear_fur,熊皮,decoration,item1,13.5,5,48,48,,,,,,房间装饰用品。,,
kotatsu,被炉,decoration,item1,15,5,48,48,,,,,,房间装饰用品。,,
scarecrow1,稻草人,decoration,item1,16.5,5,,48,,,,,,户外装饰用品。,,
scarecrow2,雪地稻草人,decoration,item1,17.5,5,,48,,,,,,户外装饰用品。,,
snowman1,雪人,decoration,item1,18.5,4.5,,,,,,,,户外装饰用品。,,
snowman2,大雪人,decoration,item1,19.5,4.5,,,,,,,,户外装饰用品。,,
straw_mattress,草垫,decoration,item1,18.5,5.5,,,,,,,,普通装饰。,,
firewood,柴堆,decoration,item1,19.5,5.5,,,,,,,,普通装饰。,,
treadmill,跑步机,decoration,item1,6,6.5,,,,,,,,房间装饰用品。,,
terminal,电脑,decoration,item1,7,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
camera,相机,decoration,item1,8,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
microwave_oven,微波炉,decoration,item1,9,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
server,机组,decoration,item1,10,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
metal_bucket,铁桶,decoration,item1,11,6.5,,,,,,,,普通装饰。,,
trash_can ,垃圾桶,decoration,item1,12,6.5,,,,,,,,房间装饰用品。,,
laptop,笔记本电脑,decoration,item1,13,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
gashapon_machine1,扭蛋机,decoration,item1,14,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
gashapon_machine2,扭蛋机,decoration,item1,15,6.5,,,,,,,,旧时代的产品，使用方法已经失传。,,
red_flag,红旗,decoration,item1,16,6.5,,,,,,,,房间装饰用品。,,
broom,扫帚,decoration,item1,17,6.5,,,,,,,,普通装饰。,,
cistern,水槽,decoration,item1,18,6.5,,,,,,,,户外装饰用品。,,
mirror_table,镜子台,decoration,item1,19,6.5,,,,,,,,房间装饰用品。,,
screen1,屏风,decoration,item1,6,8,48,48,,,,,,房间装饰用品。,,
screen2,屏风,decoration,item1,7.5,8,48,48,,,,,,房间装饰用品。,,
signboard,招牌,decoration,item1,9,8,,,,,,,,户外装饰用品。,,
blackboard,黑板,decoration,item1,10,8,48,48,,,,,,房间装饰用品。,,
campfire,篝火,decoration,item1,1,0,,,,3,0.2,,,燃起的篝火。,,
lantern,灯笼,decoration,item1,1,1,,,,2,0.3,,,点亮的灯笼。,,
torch,火把,decoration,item1,3,1,,,,2,0.3,,,点燃的火把。,,
candlestick,烛台,decoration,item1,1,2,,,,2,0.3,,,已经点亮的烛台。,,
pickax,十字镐,tool,item1,0,3,,,,,,,,可用于挖掘的十字镐。,,
alchemy_tools,炼金工具,tool,item1,1,3,,,,,,,,炼金的实用道具。,,
saucepot,炖锅,tool,item1,2,3,,,,,,,,厨具，用于料理。,,
pan,平底锅,tool,item1,3,3,,,,,,,,厨具，用于料理。,,
pot,锅,tool,item1,4,3,,,,,,,,厨具，用于料理。,,
sleeping_bag,睡袋,tool,item1,0,4,,,,,,,,可用于在野外入睡。,,
chopping_board,案板刀具,tool,item1,1,4,,,,,,,,厨具，用于料理。,,
kitchen_knife,菜刀,tool,item1,2,4,,,,,,,,厨具，用于料理。,,
fishing_pole,钓竿,tool,item1,3,4,,,,,,,,乐器，可用于演奏。,,
harmonica,口琴,tool,item1,0,5,,,,,,,,乐器，可用于演奏。,,
guitar,吉他,tool,item1,1,5,,,,,,,,乐器，可用于演奏。,,
violin,小提琴,tool,item1,2,5,,,,,,,,乐器，可用于演奏。,,
horn,号角,tool,item1,3,5,,,,,,,,乐器，可用于演奏。,,
harp,竖琴,tool,item1,0,6,,48,,,,,,乐器，可用于演奏。,,
xylophone,木琴,tool,item1,1,6,48,48,,,,,,乐器，可用于演奏。,,
long_sword,长剑,equipment,item1,27,10,,,,,,1.2,,,FALSE,
knight_sword,骑士剑,equipment,item1,28,10,,,,,,1.5,,,FALSE,
royal_sword,皇家长剑,equipment,item1,29,10,,,,,,1.5,,,FALSE,
light_saber,光剑,equipment,item1,30,10,,,,,,0.5,,,FALSE,
katana,武士刀,equipment,item1,31,10,,,,,,1.2,,,FALSE,
hiryuto,飞龙刀,equipment,item1,33,10,,,,,,1.3,,,FALSE,
scimitar,弯刀,equipment,item1,29,11,,,,,,2,,,FALSE,
claymore,大剑,equipment,item1,27,11,,,,,,4,,,FALSE,
huge_sword,巨剑,equipment,item1,28,11,,,,,,6,,,FALSE,
dagger,匕首,equipment,item1,30,11,,,,,,0.6,,,FALSE,
wakizashi,忍刀,equipment,item1,32,10,,,,,,0.8,,,FALSE,
hand_axe,手斧,equipment,item1,27,12,,,,,,1.3,,,FALSE,
battle_axe,战斧,equipment,item1,28,12,,,,,,3,,,FALSE,
broadax,重斧,equipment,item1,29,12,,,,,,4.5,,,FALSE,
halberd,斧枪,equipment,item1,30,12,,,,,,4,,,FALSE,
spear,长矛,equipment,item1,31,12,,,,,,3,,,FALSE,
fauchard,斩矛,equipment,item1,32,12,,,,,,3.5,,,FALSE,
trident,三叉戟,equipment,item1,33,12,,,,,,5,,,FALSE,
scythe,大镰,equipment,item1,27,13,,,,,,5,,,FALSE,
staves,法杖,equipment,item1,28,13,,,,,,1.5,,,FALSE,
mace,钉锤,equipment,item1,29,13,,,,,,2.5,,,FALSE,
sledgehammer,重锤,equipment,item1,30,13,,,,,,4.5,,,FALSE,
long_stick,长棍,equipment,item1,31,13,,,,,,1,,,FALSE,
shield_wood,木盾,equipment,item1,29,16,,,,,,1.2,,,FALSE,
shield_light,轻盾,equipment,item1,28,16,,,,,,1,,,FALSE,
shield_tower,塔盾,equipment,item1,33,16,,,,,,6,,,FALSE,
shield_arm,臂盾,equipment,item1,27,16,,,,,,0.5,,,FALSE,
shield_cone,尖锥盾,equipment,item1,30,16,,,,,,2,,,FALSE,
shield_heavy,重盾,equipment,item1,31,16,,,,,,3.5,,,FALSE,
shield_alloy,合金盾,equipment,item1,32,16,,,,,,2.5,,,FALSE,
shield_royal,皇家盾,equipment,item1,34,16,,,,,,3,,,FALSE,
wand,魔杖,equipment,item1,32,13,,,,,,0.8,,,FALSE,
short_bow,短弓,equipment,item1,26,14,,,,,,1,,,FALSE,
long_bow,长弓,equipment,item1,27,14,,,,,,1.8,,,FALSE,
skull_bow,骨弓,equipment,item1,28,14,,,,,,2,,,FALSE,
crossbow,弩,equipment,item1,29,14,,,,,,3,,,FALSE,
repeating_bow,连弩,equipment,item1,29,14,,,,,,3.5,,,FALSE,
machine_gun,机关枪,equipment,item1,34,14,,,,,,1.8,,,FALSE,
pistol,手枪,equipment,item1,35,14,,,,,,0.8,,,FALSE,
revolver,左轮枪,equipment,item1,30,15,,,,,,0.9,,,FALSE,
laser_gun,激光枪,equipment,item1,31,15,,,,,,1.2,,,FALSE,
shotgun,霰弹枪,equipment,item1,32,15,48,,,,,2,,,FALSE,
heavy_mg,重机枪,equipment,item1,33.5,15,48,,,,,6,,,FALSE,
sniper_rifle,狙击枪,equipment,item1,36,14.5,48,48,,,,3,,,FALSE,
assault_rifle,突击步枪,equipment,item1,35,16,48,,,,,2.1,,,FALSE,
robe,长袍,equipment,item1,27,17,,,,,,1.5,,,FALSE,
coat,外套,equipment,item1,31,17,,,,,,2,,,FALSE,
mage_robe,法袍,equipment,item1,28,17,,,,,,1.8,,,FALSE,
noble_coat,贵族外套,equipment,item1,29,17,,,,,,2.2,,,FALSE,
protection_coat,防护外套,equipment,item1,30,17,,,,,,3,,,FALSE,
light_armor,轻甲,equipment,item1,32,17,,,,,,1.8,,,FALSE,
leather_armour,皮甲,equipment,item1,27,18,,,,,,2.5,,,FALSE,
breastplate,护胸甲,equipment,item1,28,18,,,,,,3.5,,,FALSE,
firm_mail,坚铠,equipment,item1,29,18,,,,,,4.5,,,FALSE,
heavy_mail,重铠,equipment,item1,30,18,,,,,,6.5,,,FALSE,
plate_mail,板甲,equipment,item1,31,18,,,,,,8.5,,,FALSE,
knight_armor,骑士铠,equipment,item1,32,18,,,,,,7,,,FALSE,
cloak,披风,equipment,item1,27,19,,,,,,1.5,,,FALSE,
mantle,斗篷,equipment,item1,28,19,,,,,,2,,,FALSE,
armored_cloak,防护斗篷,equipment,item1,29,19,,,,,,2.5,,,FALSE,
noble_cloak,贵族披风,equipment,item1,30,19,,,,,,2,,,FALSE,
wings,羽翼,equipment,item1,31,19,,,,,,2,,,FALSE,
patagium,膜翼,equipment,item1,32,19,,,,,,2.5,,,FALSE,
shoes,鞋,equipment,item1,27,20,,,,,,1,,,FALSE,
boots,厚靴,equipment,item1,28,20,,,,,,4,,,FALSE,
tight_boots,松紧靴,equipment,item1,29,20,,,,,,2.5,,,FALSE,
composite_boots,合成靴,equipment,item1,30,20,,,,,,3,,,FALSE,
armored_boots,装甲靴,equipment,item1,31,20,,,,,,4,,,FALSE,
gloves,手套,equipment,item1,27,21,,,,,,0.8,,,FALSE,
decorated_gloves,装饰手套,equipment,item1,28,21,,,,,,0.5,,,FALSE,
composite_gloves,合成手套,equipment,item1,29,21,,,,,,0.8,,,FALSE,
magic_gloves,魔法手套,equipment,item1,30,21,,,,,,1.2,,,FALSE,
gauntlets,重型护手,equipment,item1,31,21,,,,,,2,,,FALSE,
plate_gauntlets,板甲护手,equipment,item1,32,21,,,,,,3,,,FALSE,
girdle,腰带,equipment,item1,33,21,,,,,,0.8,,,FALSE,
plate_girdle,重型腰带,equipment,item1,34,21,,,,,,1.8,,,FALSE,
feather_hat,羽帽,equipment,item1,28,22,,,,,,1,,,FALSE,
decorated_hat,华丽羽帽,equipment,item1,27,22,,,,,,1,,,FALSE,
mage_hat,魔法帽,equipment,item1,30,22,,,,,,1.5,,,FALSE,
fairy_hat,精灵帽,equipment,item1,31,22,,,,,,1.5,,,FALSE,
helm,铁盔,equipment,item1,32,22,,,,,,3,,,FALSE,
knight_helm,骑士盔,equipment,item1,33,22,,,,,,4,,,FALSE,
samurai_helm,武士盔,equipment,item1,34,22,,,,,,4,,,FALSE,
dragon_helm,龙盔,equipment,item1,35,22,,,,,,3,,,FALSE,
metal_amulet,金属护符,equipment,item1,31,23,,,,,,0.3,,,FALSE,
decorative_necklace,装饰项链,equipment,item1,27,23,,,,,,,,,FALSE,
bejeweled_necklace,精工项链,equipment,item1,28,23,,,,,,,,,FALSE,
talisman,护身符,equipment,item1,29,23,,,,,,0.2,,,FALSE,
neck_guard,护颈,equipment,item1,30,23,,,,,,0.8,,,FALSE,
strange_amulet,诡异护符,equipment,item1,32,23,,,,,,0.5,,,FALSE,
gem_ring,宝石戒指,equipment,item1,27,24,,,,,,,,,FALSE,
decorated_ring,装饰戒指,equipment,item1,28,24,,,,,,,,,FALSE,
ring,指环,equipment,item1,29,24,,,,,,,,,FALSE,
armored_ring,防护戒指,equipment,item1,30,24,,,,,,0.5,,,FALSE,
magic_ring,魔力戒指,equipment,item1,31,24,,,,,,,,,FALSE,
